"ул. Авачинская, д. 01","ул. Авачинская, д. 02","ул. Авачинская, д. 03","ул. Авачинская, д. 04","ул. Авачинская, д. 05","ул. Авачинская, д. 06","ул. Авачинская, д. 07","ул. Авачинская, д. 08","ул. Авачинская, д. 09","ул. Авачинская, д. 10","ул. Авачинская, д. 11","ул. Авачинская, д. 12","ул. Авачинская, д. 13","ул. Авачинская, д. 14","ул. Авачинская, д. 15","ул. Авачинская, д. 16","ул. Авачинская, д. 17","ул. Авачинская, д. 18","ул. Авачинская, д. 19","ул. Авачинская, д. 20","ул. Авачинская, д. 21","ул. Авачинская, д. 22","ул. Авачинская, д. 23","ул. Авачинская, д. 24","ул. Авачинская, д. 25","ул. Авачинская, д. 26","ул. Авачинская, д. 27","ул. Авачинская, д. 28","ул. Авачинская, д. 29","ул. Авачинская, д. 30","ул. Авачинская, д. 31","ул. Авачинская, д. 32","ул. Авачинская, д. 33","ул. Авачинская, д. 34","ул. Авачинская, д. 35","ул. Авачинская, д. 36","ул. Авачинская, д. 37","ул. Авачинская, д. 38","ул. Авачинская, д. 39","ул. Авачинская, д. 40","ул. Авачинская, д. 41","ул. Авачинская, д. 42","ул. Авачинская, д. 43","ул. Авачинская, д. 44","ул. Авачинская, д. 45","ул. Авачинская, д. 46","ул. Авачинская, д. 47","ул. Авачинская, д. 48","ул. Авачинская, д. 49","ул. Авачинская, д. 50","ул. Авачинская, д. 51","ул. Авачинская, д. 52","ул. Авачинская, д. 53","ул. Авачинская, д. 54","ул. Авачинская, д. 55","ул. Авачинская, д. 56","ул. Авачинская, д. 57","ул. Авачинская, д. 58","ул. Авачинская, д. 59","ул. Авачинская, д. 60","ул. Авачинская, д. 61","ул. Авачинская, д. 62","ул. Авачинская, д. 63","ул. Авачинская, д. 64","ул. Авачинская, д. 65","ул. Авачинская, д. 66","ул. Авачинская, д. 67","ул. Авачинская, д. 68","ул. Авачинская, д. 69","ул. Авачинская, д. 70","ул. Авачинская, д. 71","ул. Авачинская, д. 72","ул. Авачинская, д. 73","ул. Авачинская, д. 74","ул. Авачинская, д. 75","ул. Авачинская, д. 76","ул. Авачинская, д. 77","ул. Авачинская, д. 78","ул. Авачинская, д. 79","ул. Авачинская, д. 80","ул. Авачинская, д. 81","ул. Авачинская, д. 82","ул. Авачинская, д. 83","ул. Авачинская, д. 84","ул. Авачинская, д. 85","ул. Авачинская, д. 86","ул. Авачинская, д. 87","ул. Авачинская, д. 88","ул. Авачинская, д. 89","ул. Авачинская, д. 90","ул. Авачинская, д. 91","ул. Авачинская, д. 92","ул. Авачинская, д. 93","ул. Авачинская, д. 94","ул. Авачинская, д. 95","ул. Авачинская, д. 96","ул. Авачинская, д. 97","ул. Авачинская, д. 98","ул. Авачинская, д. 99","ул. Авачинская, д. 100","ул. Кондратьева, д. 01","ул. Кондратьева, д. 02","ул. Кондратьева, д. 03","ул. Кондратьева, д. 04","ул. Кондратьева, д. 05","ул. Кондратьева, д. 06","ул. Кондратьева, д. 07","ул. Кондратьева, д. 08","ул. Кондратьева, д. 09","ул. Кондратьева, д. 10","ул. Кондратьева, д. 11","ул. Кондратьева, д. 12","ул. Кондратьева, д. 13","ул. Кондратьева, д. 14","ул. Кондратьева, д. 15","ул. Кондратьева, д. 16","ул. Кондратьева, д. 17","ул. Кондратьева, д. 18","ул. Кондратьева, д. 19","ул. Кондратьева, д. 20","ул. Кондратьева, д. 21","ул. Кондратьева, д. 22","ул. Кондратьева, д. 23","ул. Кондратьева, д. 24","ул. Кондратьева, д. 25","ул. Кондратьева, д. 26","ул. Кондратьева, д. 27","ул. Кондратьева, д. 28","ул. Кондратьева, д. 29","ул. Кондратьева, д. 30","ул. Кондратьева, д. 31","ул. Кондратьева, д. 32","ул. Кондратьева, д. 33","ул. Кондратьева, д. 34","ул. Кондратьева, д. 35","ул. Кондратьева, д. 36","ул. Кондратьева, д. 37","ул. Кондратьева, д. 38","ул. Кондратьева, д. 39","ул. Кондратьева, д. 40","ул. Кондратьева, д. 41","ул. Кондратьева, д. 42","ул. Кондратьева, д. 43","ул. Кондратьева, д. 44","ул. Кондратьева, д. 45","ул. Кондратьева, д. 46","ул. Кондратьева, д. 47","ул. Кондратьева, д. 48","ул. Кондратьева, д. 49","ул. Кондратьева, д. 50","ул. Кондратьева, д. 51","ул. Кондратьева, д. 52","ул. Кондратьева, д. 53","ул. Кондратьева, д. 54","ул. Кондратьева, д. 55","ул. Кондратьева, д. 56","ул. Кондратьева, д. 57","ул. Кондратьева, д. 58","ул. Кондратьева, д. 59","ул. Кондратьева, д. 60","ул. Кондратьева, д. 61","ул. Кондратьева, д. 62","ул. Кондратьева, д. 63","ул. Кондратьева, д. 64","ул. Кондратьева, д. 65","ул. Кондратьева, д. 66","ул. Кондратьева, д. 67","ул. Кондратьева, д. 68","ул. Кондратьева, д. 69","ул. Кондратьева, д. 70","ул. Кондратьева, д. 71","ул. Кондратьева, д. 72","ул. Кондратьева, д. 73","ул. Кондратьева, д. 74","ул. Кондратьева, д. 75","ул. Кондратьева, д. 76","ул. Кондратьева, д. 77","ул. Кондратьева, д. 78","ул. Кондратьева, д. 79","ул. Кондратьева, д. 80","ул. Кондратьева, д. 81","ул. Кондратьева, д. 82","ул. Кондратьева, д. 83","ул. Кондратьева, д. 84","ул. Кондратьева, д. 85","ул. Кондратьева, д. 86","ул. Кондратьева, д. 87","ул. Кондратьева, д. 88","ул. Кондратьева, д. 89","ул. Кондратьева, д. 90","ул. Кондратьева, д. 91","ул. Кондратьева, д. 92","ул. Кондратьева, д. 93","ул. Кондратьева, д. 94","ул. Кондратьева, д. 95","ул. Кондратьева, д. 96","ул. Кондратьева, д. 97","ул. Кондратьева, д. 98","ул. Кондратьева, д. 99","ул. Кондратьева, д. 100","ул. Причудная, д. 01","ул. Причудная, д. 02","ул. Причудная, д. 03","ул. Причудная, д. 04","ул. Причудная, д. 05","ул. Причудная, д. 06","ул. Причудная, д. 07","ул. Причудная, д. 08","ул. Причудная, д. 09","ул. Причудная, д. 10","ул. Причудная, д. 11","ул. Причудная, д. 12","ул. Причудная, д. 13","ул. Причудная, д. 14","ул. Причудная, д. 15","ул. Причудная, д. 16","ул. Причудная, д. 17","ул. Причудная, д. 18","ул. Причудная, д. 19","ул. Причудная, д. 20","ул. Причудная, д. 21","ул. Причудная, д. 22","ул. Причудная, д. 23","ул. Причудная, д. 24","ул. Причудная, д. 25","ул. Причудная, д. 26","ул. Причудная, д. 27","ул. Причудная, д. 28","ул. Причудная, д. 29","ул. Причудная, д. 30","ул. Причудная, д. 31","ул. Причудная, д. 32","ул. Причудная, д. 33","ул. Причудная, д. 34","ул. Причудная, д. 35","ул. Причудная, д. 36","ул. Причудная, д. 37","ул. Причудная, д. 38","ул. Причудная, д. 39","ул. Причудная, д. 40","ул. Причудная, д. 41","ул. Причудная, д. 42","ул. Причудная, д. 43","ул. Причудная, д. 44","ул. Причудная, д. 45","ул. Причудная, д. 46","ул. Причудная, д. 47","ул. Причудная, д. 48","ул. Причудная, д. 49","ул. Причудная, д. 50","ул. Причудная, д. 51","ул. Причудная, д. 52","ул. Причудная, д. 53","ул. Причудная, д. 54","ул. Причудная, д. 55","ул. Причудная, д. 56","ул. Причудная, д. 57","ул. Причудная, д. 58","ул. Причудная, д. 59","ул. Причудная, д. 60","ул. Причудная, д. 61","ул. Причудная, д. 62","ул. Причудная, д. 63","ул. Причудная, д. 64","ул. Причудная, д. 65","ул. Причудная, д. 66","ул. Причудная, д. 67","ул. Причудная, д. 68","ул. Причудная, д. 69","ул. Причудная, д. 70","ул. Причудная, д. 71","ул. Причудная, д. 72","ул. Причудная, д. 73","ул. Причудная, д. 74","ул. Причудная, д. 75","ул. Причудная, д. 76","ул. Причудная, д. 77","ул. Причудная, д. 78","ул. Причудная, д. 79","ул. Причудная, д. 80","ул. Причудная, д. 81","ул. Причудная, д. 82","ул. Причудная, д. 83","ул. Причудная, д. 84","ул. Причудная, д. 85","ул. Причудная, д. 86","ул. Причудная, д. 87","ул. Причудная, д. 88","ул. Причудная, д. 89","ул. Причудная, д. 90","ул. Причудная, д. 91","ул. Причудная, д. 92","ул. Причудная, д. 93","ул. Причудная, д. 94","ул. Причудная, д. 95","ул. Причудная, д. 96","ул. Причудная, д. 97","ул. Причудная, д. 98","ул. Причудная, д. 99","ул. Причудная, д. 100"
3956,3915,3896,3855,3853,3825,3770,3749,3716,3692,3666,3630,3588,3565,3528,3513,3494,3443,3413,3394,3348,3328,3291,3255,3245,3202,3190,3165,3109,3088,3045,3022,3003,2964,2936,2899,2892,2835,2806,2805,2746,2736,2710,2673,2645,2606,2576,2557,2523,2495,2445,2423,2408,2379,2336,2302,2279,2256,2230,2186,2163,2131,2087,2075,2042,2013,1971,1935,1921,1894,1852,1824,1796,1782,1739,1707,1677,1658,1631,1583,1560,1536,1494,1467,1448,1407,1394,1357,1323,1285,1254,1237,1192,1164,1149,1114,1065,1055,1019,987,950,919,907,864,852,811,792,753,733,693,651,630,604,557,535,501,471,462,413,391,368,333,289,257,241,208,168,154,105,100,65,40,0,27,53,83,112,148,194,200,238,256,307,337,350,386,427,437,467,502,552,582,587,628,657,696,717,753,774,822,846,880,907,942,964,1001,1014,1052,1087,1111,1150,1165,1199,1242,1260,1276,1315,1351,1391,1420,1448,1478,1486,1542,1561,1605,1608,1654,1679,1724,1728,1769,1802,1834,1847,1887,1913,1949,1966,2025,2043,2064,2085,2137,2153,2185,2222,2248,2293,2297,2337,2372,2406,2442,2464,2501,2515,2551,2570,2606,2633,2681,2692,2739,2752,2775,2817,2841,2871,2908,2950,2981,3002,3019,3046,3076,3133,3161,3165,3218,3243,3264,3300,3318,3352,3384,3408,3465,3493,3497,3538,3574,3608,3639,3674,3703,3713,3752,3783,3809,3836,3855,3899,3928,3971,4001,4006,4061,4077,4120,4150,4163,4195,4223,4261,4281,4322,4338,4387,4418,4449,4468,4505,4537,4572,4583,4619,4647,4670,4695,4729,4764,4809,4823,4874,4889,4920,4948,4977,5002
3987,3967,3917,3894,3879,3828,3812,3777,3737,3715,3678,3657,3621,3611,3583,3545,3506,3474,3454,3411,3376,3366,3332,3315,3274,3248,3214,3165,3162,3111,3101,3054,3031,2989,2975,2945,2924,2882,2840,2808,2777,2761,2731,2708,2683,2653,2608,2583,2560,2524,2501,2445,2436,2396,2362,2330,2304,2284,2244,2227,2205,2148,2117,2086,2084,2045,2023,1979,1935,1923,1879,1868,1824,1811,1774,1738,1705,1687,1656,1609,1577,1553,1539,1504,1482,1450,1422,1379,1361,1332,1301,1248,1242,1208,1184,1142,1108,1076,1056,1016,976,950,924,885,870,831,819,766,735,710,688,669,637,612,566,532,524,486,448,414,405,347,316,312,273,233,207,176,135,124,81,72,27,0,16,67,100,122,155,190,218,249,259,308,319,372,375,420,436,476,506,552,574,612,636,645,700,734,757,781,797,838,855,887,939,974,1005,1010,1045,1094,1115,1151,1180,1187,1234,1248,1275,1328,1335,1386,1406,1447,1459,1493,1541,1557,1603,1620,1661,1695,1707,1736,1782,1801,1838,1871,1876,1912,1946,1982,1997,2043,2069,2104,2128,2155,2182,2209,2243,2285,2306,2332,2373,2394,2444,2460,2485,2516,2543,2574,2619,2629,2685,2700,2731,2748,2783,2807,2852,2887,2918,2932,2985,3011,3029,3059,3075,3118,3162,3190,3211,3229,3277,3306,3329,3355,3392,3410,3435,3474,3503,3538,3571,3593,3644,3668,3679,3712,3757,3786,3797,3849,3863,3894,3928,3957,4005,4013,4037,4077,4101,4149,4163,4191,4235,4250,4287,4322,4349,4365,4407,4452,4481,4509,4536,4565,4592,4621,4664,4695,4710,4740,4776,4808,4821,4847,4891,4912,4938,4992
4022,3998,3970,3925,3890,3876,3849,3823,3786,3750,3709,3689,3659,3627,3589,3560,3535,3498,3465,3441,3416,3391,3351,3341,3303,3263,3244,3214,3173,3150,3128,3096,3056,3040,3010,2969,2927,2912,2882,2863,2813,2801,2755,2735,2696,2661,2646,2615,2593,2539,2522,2479,2457,2434,2389,2379,2327,2298,2280,2254,2234,2187,2154,2119,2111,2060,2048,2001,1984,1955,1931,1875,1874,1816,1801,1765,1736,1716,1673,1645,1608,1603,1572,1543,1492,1468,1443,1421,1389,1350,1318,1284,1273,1229,1187,1157,1130,1117,1084,1043,1019,988,973,916,911,878,849,808,766,759,722,682,651,629,591,579,525,518,478,436,427,389,368,341,294,275,243,220,174,143,133,76,53,16,0,37,69,83,123,155,172,201,248,266,308,333,347,387,433,465,471,502,548,574,602,639,658,704,706,751,793,813,843,869,899,941,950,986,1014,1042,1070,1116,1148,1185,1204,1229,1258,1293,1311,1336,1365,1416,1434,1465,1513,1531,1564,1575,1609,1642,1667,1716,1731,1785,1812,1836,1862,1895,1923,1941,1992,1996,2037,2080,2109,2129,2154,2198,2224,2236,2290,2298,2340,2384,2394,2436,2460,2492,2532,2548,2567,2612,2650,2667,2686,2731,2759,2779,2819,2849,2888,2912,2926,2977,3011,3020,3048,3101,3111,3164,3193,3224,3225,3283,3287,3316,3363,3381,3433,3437,3469,3513,3534,3556,3614,3616,3667,3685,3725,3736,3786,3806,3833,3876,3892,3934,3970,4000,4034,4064,4094,4097,4149,4176,4205,4233,4269,4295,4312,4339,4395,4419,4448,4466,4501,4535,4562,4590,4630,4640,4671,4724,4740,4765,4808,4833,4856,4886,4906,4944
4041,4035,3977,3956,3922,3902,3875,3854,3806,3779,3735,3728,3687,3668,3633,3609,3582,3553,3505,3468,3443,3405,3379,3347,3319,3310,3285,3229,3199,3167,3138,3130,3078,3070,3031,3004,2958,2945,2924,2872,2853,2824,2789,2757,2729,2699,2660,2643,2608,2582,2549,2521,2503,2451,2416,2415,2361,2330,2303,2289,2237,2205,2192,2174,2124,2091,2080,2055,2021,1971,1947,1932,1893,1852,1816,1800,1761,1726,1704,1671,1636,1609,1589,1553,1542,1511,1466,1450,1413,1377,1337,1319,1289,1248,1229,1214,1181,1154,1114,1093,1057,1031,978,954,937,889,880,832,815,781,756,707,689,667,627,606,575,525,511,480,458,420,398,373,320,298,274,233,196,165,149,126,83,67,37,0,43,46,104,106,156,186,202,251,276,313,319,352,379,409,437,489,502,534,582,613,641,662,702,718,764,785,818,838,881,889,924,967,1005,1011,1055,1088,1107,1134,1160,1213,1240,1271,1287,1320,1349,1391,1397,1441,1460,1491,1541,1558,1578,1624,1651,1673,1710,1741,1784,1803,1818,1852,1887,1919,1936,1975,2021,2033,2079,2088,2142,2161,2198,2235,2255,2292,2303,2344,2374,2412,2419,2453,2480,2506,2557,2582,2603,2631,2666,2687,2722,2773,2781,2817,2851,2865,2912,2943,2969,2995,3041,3069,3100,3128,3155,3190,3195,3255,3277,3303,3325,3373,3402,3417,3450,3477,3523,3540,3559,3595,3622,3647,3690,3709,3741,3777,3821,3837,3882,3893,3930,3965,3979,4018,4039,4094,4119,4127,4156,4207,4231,4274,4304,4326,4362,4394,4425,4430,4472,4502,4529,4549,4600,4621,4658,4681,4696,4744,4782,4792,4832,4853,4883,4918
4092,4045,4022,3989,3967,3919,3890,3879,3848,3818,3789,3756,3715,3678,3647,3629,3585,3576,3528,3502,3486,3448,3429,3375,3375,3328,3297,3255,3254,3214,3176,3148,3112,3087,3074,3018,2986,2980,2930,2910,2894,2850,2815,2787,2761,2730,2694,2682,2630,2615,2595,2544,2531,2504,2446,2415,2395,2384,2333,2320,2276,2262,2217,2183,2170,2117,2104,2082,2049,2001,1977,1956,1906,1898,1875,1841,1805,1761,1737,1700,1674,1644,1620,1582,1564,1517,1499,1464,1425,1415,1367,1352,1308,1291,1259,1220,1189,1183,1130,1101,1077,1049,1023,986,975,923,912,868,836,800,769,745,710,693,656,645,590,564,545,523,484,448,408,388,362,343,299,285,230,217,195,165,112,100,69,43,0,24,53,96,131,165,187,204,245,282,296,332,357,375,427,435,466,515,543,585,589,644,662,705,719,752,789,807,842,873,904,918,947,999,1015,1045,1074,1106,1153,1171,1187,1233,1248,1300,1325,1354,1379,1399,1448,1464,1515,1530,1554,1575,1626,1665,1668,1711,1740,1762,1813,1827,1865,1894,1905,1954,1983,2019,2028,2061,2104,2142,2158,2188,2222,2238,2273,2300,2341,2370,2406,2422,2452,2505,2511,2550,2595,2611,2647,2667,2686,2741,2765,2783,2835,2843,2872,2917,2934,2979,2999,3015,3047,3089,3130,3135,3190,3208,3233,3277,3302,3315,3369,3391,3405,3461,3485,3516,3528,3557,3598,3642,3654,3689,3733,3736,3777,3825,3827,3876,3906,3928,3945,3985,4025,4058,4080,4096,4152,4158,4202,4235,4265,4286,4320,4351,4372,4405,4450,4470,4485,4527,4549,4597,4619,4646,4665,4719,4734,4755,4807,4838,4859,4889
4119,4075,4045,4024,3998,3951,3940,3885,3868,3831,3809,3779,3757,3720,3679,3650,3627,3608,3566,3527,3523,3471,3445,3425,3392,3370,3317,3310,3275,3251,3203,3189,3142,3126,3103,3054,3042,3013,2977,2925,2915,2891,2857,2815,2780,2763,2737,2686,2656,2641,2600,2568,2559,2511,2488,2461,2438,2385,2381,2328,2322,2276,2249,2212,2195,2152,2115,2093,2081,2046,2002,1988,1956,1927,1891,1863,1838,1794,1761,1753,1703,1675,1645,1612,1593,1557,1517,1504,1472,1432,1415,1382,1354,1312,1283,1269,1230,1215,1161,1150,1099,1069,1043,1028,977,954,922,915,879,830,810,794,746,723,693,650,639,603,581,525,525,471,448,427,403,367,335,296,269,228,217,167,148,122,83,46,24,0,35,71,84,134,135,186,197,238,259,291,342,361,397,421,461,474,519,534,579,596,629,675,695,717,759,769,796,829,883,914,938,945,1005,1032,1059,1086,1109,1152,1174,1206,1223,1248,1295,1328,1354,1382,1401,1445,1460,1513,1536,1555,1590,1613,1649,1688,1701,1725,1765,1789,1838,1856,1891,1930,1963,1968,2023,2038,2058,2087,2116,2165,2193,2205,2236,2285,2325,2330,2357,2392,2441,2472,2495,2509,2560,2592,2623,2635,2667,2697,2734,2772,2790,2834,2851,2872,2914,2927,2964,3012,3029,3047,3080,3109,3153,3187,3212,3251,3259,3307,3323,3365,3401,3408,3458,3489,3513,3544,3576,3590,3621,3671,3702,3731,3747,3772,3802,3854,3881,3913,3931,3969,3985,4029,4048,4091,4119,4136,4162,4186,4219,4265,4291,4334,4340,4371,4408,4430,4470,4506,4530,4545,4605,4634,4647,4691,4715,4744,4779,4785,4818,4873
4127,4118,4066,4037,4034,3983,3946,3934,3907,3865,3844,3811,3765,3738,3720,3684,3652,3627,3603,3583,3526,3504,3470,3455,3411,3398,3356,3325,3307,3260,3246,3220,3168,3161,3115,3092,3048,3034,2997,2959,2946,2921,2892,2850,2811,2786,2771,2717,2691,2660,2651,2613,2566,2544,2515,2504,2445,2422,2412,2383,2333,2301,2291,2247,2210,2201,2162,2118,2094,2069,2038,2021,1967,1939,1927,1897,1857,1845,1789,1765,1726,1711,1678,1660,1625,1576,1567,1533,1490,1462,1447,1415,1395,1361,1325,1284,1264,1242,1187,1168,1147,1113,1066,1040,1006,998,969,915,896,868,831,795,776,757,732,700,658,641,587,575,530,516,478,444,418,375,362,332,289,278,227,213,194,155,123,104,53,35,0,18,72,93,107,148,195,211,232,265,314,325,370,398,421,461,472,495,545,564,586,625,649,700,708,742,786,808,834,871,894,928,963,999,1009,1052,1081,1125,1129,1170,1194,1233,1250,1289,1311,1341,1386,1421,1447,1455,1507,1526,1550,1601,1607,1646,1681,1700,1732,1784,1807,1830,1869,1900,1914,1950,1977,2017,2034,2055,2112,2135,2166,2189,2221,2239,2288,2300,2350,2365,2396,2442,2463,2488,2524,2556,2587,2597,2646,2684,2700,2745,2764,2778,2833,2844,2888,2920,2931,2965,2990,3030,3055,3093,3109,3143,3187,3199,3246,3263,3289,3331,3348,3400,3415,3462,3478,3495,3532,3565,3605,3639,3671,3701,3706,3757,3765,3807,3832,3857,3912,3925,3960,3991,4006,4062,4075,4111,4131,4156,4210,4225,4253,4294,4331,4359,4365,4425,4449,4473,4502,4524,4570,4592,4620,4653,4668,4723,4751,4756,4797,4818
4161,4128,4113,4090,4038,4013,3982,3945,3915,3913,3869,3846,3814,3774,3746,3720,3688,3672,3639,3600,3559,3552,3505,3485,3435,3425,3394,3364,3327,3286,3280,3229,3221,3189,3148,3112,3101,3049,3024,2985,2961,2950,2906,2872,2835,2829,2795,2750,2718,2701,2681,2640,2613,2594,2540,2527,2479,2458,2424,2391,2376,2327,2296,2279,2260,2223,2192,2147,2119,2086,2073,2033,2015,1984,1956,1917,1897,1875,1827,1796,1759,1753,1698,1692,1637,1625,1592,1547,1516,1491,1471,1453,1411,1369,1342,1305,1287,1262,1225,1191,1184,1150,1115,1089,1065,1026,995,948,932,904,879,843,820,767,754,717,678,659,615,611,571,528,501,475,447,422,386,358,327,307,281,250,200,190,155,106,96,71,18,0,17,48,76,135,164,194,213,248,279,291,338,366,375,433,438,485,520,548,573,604,630,665,698,725,757,778,808,851,857,890,922,948,986,1025,1046,1083,1104,1127,1179,1207,1242,1275,1304,1335,1343,1386,1399,1447,1476,1503,1523,1566,1585,1628,1637,1692,1711,1729,1756,1802,1827,1857,1877,1929,1947,1987,2001,2042,2055,2093,2131,2170,2189,2228,2237,2272,2306,2327,2374,2404,2440,2466,2487,2525,2539,2592,2599,2631,2673,2700,2718,2752,2805,2824,2861,2874,2910,2932,2973,2995,3030,3050,3083,3111,3135,3173,3222,3246,3264,3291,3320,3354,3405,3432,3439,3472,3525,3528,3571,3602,3617,3669,3676,3720,3758,3777,3819,3848,3860,3886,3928,3954,3977,4011,4049,4075,4114,4144,4177,4213,4245,4248,4304,4309,4360,4372,4419,4446,4460,4499,4516,4570,4576,4626,4649,4694,4714,4735,4785,4785
4211,4165,4139,4096,4095,4056,4010,3993,3971,3919,3889,3863,3825,3807,3786,3740,3734,3703,3671,3643,3588,3571,3553,3510,3481,3452,3418,3382,3352,3343,3304,3256,3232,3201,3169,3139,3134,3083,3054,3030,2989,2985,2934,2895,2882,2851,2810,2780,2755,2738,2685,2672,2633,2620,2581,2556,2509,2490,2447,2435,2392,2358,2350,2298,2290,2256,2223,2205,2145,2138,2112,2067,2051,2016,1995,1953,1921,1875,1853,1824,1803,1758,1728,1705,1676,1640,1625,1594,1546,1535,1500,1456,1449,1406,1370,1341,1312,1295,1263,1239,1214,1161,1135,1122,1071,1053,1014,976,970,936,902,858,831,822,771,755,727,680,667,631,604,570,528,507,493,439,414,379,374,332,300,285,238,218,172,156,131,84,72,17,0,18,48,105,119,142,170,207,230,265,303,317,347,399,409,447,478,502,529,585,599,641,671,697,734,758,775,814,832,876,901,929,952,981,1035,1058,1076,1108,1140,1182,1213,1239,1263,1283,1319,1361,1393,1397,1452,1485,1504,1539,1562,1594,1630,1648,1683,1705,1726,1779,1793,1841,1857,1894,1931,1943,1969,2003,2041,2059,2109,2134,2157,2197,2232,2245,2287,2314,2334,2376,2413,2435,2466,2501,2531,2546,2582,2606,2639,2670,2715,2745,2755,2776,2811,2863,2894,2915,2929,2967,3004,3020,3073,3082,3131,3164,3168,3210,3227,3273,3290,3321,3374,3386,3413,3453,3470,3522,3548,3563,3614,3621,3659,3692,3715,3751,3790,3807,3851,3861,3909,3917,3958,3997,4007,4053,4066,4119,4133,4175,4208,4223,4250,4298,4326,4338,4366,4421,4442,4477,4500,4517,4563,4604,4625,4646,4685,4719,4728,4761
4221,4196,4175,4139,4100,4090,4050,4014,3991,3949,3932,3900,3869,3837,3825,3786,3742,3721,3697,3646,3639,3591,3583,3552,3506,3473,3445,3433,3400,3368,3318,3314,3266,3255,3195,3189,3149,3127,3096,3053,3028,2990,2959,2928,2908,2887,2858,2833,2799,2761,2719,2691,2681,2645,2599,2590,2540,2513,2500,2466,2435,2388,2363,2355,2311,2272,2253,2226,2201,2153,2138,2111,2083,2032,1997,1991,1963,1906,1896,1857,1826,1806,1784,1740,1721,1683,1657,1605,1602,1568,1528,1507,1479,1440,1401,1386,1363,1312,1281,1272,1225,1213,1175,1139,1098,1088,1053,1025,985,956,934,892,879,834,799,774,755,709,703,648,626,603,562,553,523,474,461,405,401,356,325,305,256,249,201,186,165,134,93,48,18,0,41,53,90,114,143,187,199,254,280,310,331,351,405,429,443,492,499,532,570,593,621,674,690,706,755,783,803,837,869,891,945,961,987,1029,1057,1075,1108,1149,1171,1192,1242,1273,1302,1322,1347,1385,1417,1452,1481,1509,1542,1551,1604,1614,1655,1691,1712,1750,1763,1804,1844,1874,1888,1935,1961,1995,2014,2042,2063,2094,2128,2174,2187,2232,2235,2290,2315,2349,2356,2392,2416,2454,2477,2511,2554,2566,2621,2634,2663,2703,2742,2768,2800,2826,2852,2875,2922,2926,2967,3015,3024,3074,3098,3131,3140,3178,3224,3232,3266,3306,3325,3352,3376,3418,3457,3487,3525,3541,3563,3605,3641,3664,3691,3734,3741,3781,3812,3838,3866,3914,3920,3956,3978,4006,4047,4089,4117,4131,4173,4199,4231,4268,4304,4312,4348,4378,4413,4450,4468,4493,4544,4548,4576,4624,4647,4678,4699,4747
4258,4216,4201,4168,4154,4104,4089,4039,4013,3980,3949,3935,3891,3871,3847,3815,3766,3735,3720,3702,3667,3643,3598,3555,3550,3498,3476,3455,3429,3392,3367,3331,3314,3261,3240,3201,3178,3136,3125,3078,3070,3024,2991,2969,2939,2907,2890,2852,2833,2802,2753,2725,2706,2655,2626,2602,2565,2536,2511,2475,2460,2424,2415,2362,2340,2316,2284,2256,2228,2193,2157,2124,2095,2084,2049,1998,1967,1945,1909,1889,1862,1822,1797,1763,1725,1716,1680,1646,1618,1578,1562,1543,1488,1471,1425,1405,1376,1357,1306,1278,1268,1228,1214,1169,1127,1125,1094,1060,1025,997,968,941,902,873,832,801,781,747,734,700,666,635,603,563,527,502,485,439,434,388,369,325,307,259,248,202,187,135,107,76,48,41,0,18,63,89,108,155,191,224,243,283,290,341,367,381,410,460,479,509,542,574,587,629,656,690,735,765,793,817,837,858,890,923,973,982,1026,1055,1081,1116,1140,1156,1205,1238,1253,1295,1306,1363,1375,1397,1438,1469,1491,1522,1553,1587,1609,1651,1691,1696,1750,1759,1795,1826,1845,1876,1931,1963,1989,2001,2052,2077,2115,2119,2160,2192,2208,2245,2282,2323,2351,2358,2394,2415,2468,2500,2528,2552,2568,2613,2640,2674,2694,2729,2773,2793,2835,2854,2877,2924,2934,2963,3006,3022,3046,3093,3113,3157,3189,3197,3240,3276,3288,3336,3359,3405,3409,3455,3487,3513,3546,3575,3607,3619,3674,3675,3709,3746,3779,3795,3832,3866,3894,3918,3961,3975,4007,4050,4085,4104,4141,4165,4215,4222,4273,4279,4305,4345,4373,4396,4451,4481,4499,4531,4560,4597,4625,4665,4689,4705
